epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.4611,1.46588,3.21602,1.44756,0.53652,0.52065,0.48399,0.29722,1.35348,1.75911,1.27643,0.000236237,0.000236237,0.000236237
2,102.201,1.41735,1.86046,1.38121,0.60284,0.61122,0.62236,0.37595,1.32478,1.48594,1.33423,0.000464847,0.000464847,0.000464847
3,145.336,1.37074,1.6741,1.34964,0.62577,0.67899,0.67364,0.40999,1.32415,1.26975,1.29505,0.000684032,0.000684032,0.000684032
4,186.474,1.35975,1.5539,1.34225,0.60201,0.65266,0.65475,0.39947,1.33008,1.33932,1.34092,0.000671588,0.000671588,0.000671588
5,226.602,1.3458,1.50093,1.33814,0.67681,0.69052,0.72134,0.4597,1.25217,1.16225,1.27267,0.000657451,0.000657451,0.000657451
6,267.436,1.33135,1.42031,1.33032,0.66375,0.69105,0.71735,0.44949,1.27383,1.16211,1.29564,0.000643314,0.000643314,0.000643314
7,308.243,1.29502,1.3646,1.30967,0.66555,0.70617,0.73194,0.46028,1.263,1.13077,1.28992,0.000629177,0.000629177,0.000629177
8,344.826,1.27144,1.31412,1.29567,0.67455,0.7146,0.73134,0.46498,1.21152,1.09722,1.25001,0.00061504,0.00061504,0.00061504
9,380.291,1.26517,1.2532,1.2848,0.68838,0.70696,0.74029,0.47839,1.2219,1.04644,1.26292,0.000600902,0.000600902,0.000600902
10,415.363,1.24814,1.23858,1.28105,0.69144,0.74745,0.74358,0.48261,1.21279,1.04486,1.26217,0.000586765,0.000586765,0.000586765
11,450.164,1.24307,1.20756,1.27805,0.73397,0.69354,0.75793,0.48678,1.21452,1.02251,1.24832,0.000572628,0.000572628,0.000572628
12,484.738,1.23978,1.16677,1.27449,0.71902,0.71582,0.75116,0.48471,1.21417,1.01847,1.2479,0.000558491,0.000558491,0.000558491
13,519.725,1.2306,1.16451,1.27437,0.71494,0.71925,0.74857,0.48369,1.20032,1.0359,1.2568,0.000544354,0.000544354,0.000544354
14,555.24,1.2169,1.1275,1.26051,0.72409,0.73379,0.76979,0.51036,1.20101,0.96407,1.23518,0.000530216,0.000530216,0.000530216
15,590.304,1.21206,1.10194,1.25488,0.69039,0.73716,0.75939,0.50508,1.17877,0.97902,1.23775,0.000516079,0.000516079,0.000516079
16,628.94,1.20108,1.0906,1.24557,0.72385,0.74569,0.76696,0.50431,1.17209,0.96956,1.22849,0.000501942,0.000501942,0.000501942
17,667.278,1.21346,1.09366,1.25496,0.69434,0.75715,0.76766,0.51012,1.16125,0.96718,1.23335,0.000487805,0.000487805,0.000487805
18,702.798,1.19009,1.0724,1.23863,0.70697,0.74834,0.77316,0.51549,1.17194,0.96661,1.22607,0.000473668,0.000473668,0.000473668
19,735.796,1.18995,1.06229,1.24092,0.70471,0.75987,0.76811,0.51727,1.15697,0.94183,1.21658,0.00045953,0.00045953,0.00045953
20,766.857,1.18593,1.04406,1.24175,0.73391,0.7372,0.76935,0.51786,1.16637,0.93563,1.23311,0.000445393,0.000445393,0.000445393
21,797.994,1.18702,1.01878,1.23655,0.77359,0.71507,0.77345,0.51792,1.16481,0.92406,1.22268,0.000431256,0.000431256,0.000431256
22,829.358,1.17462,1.01264,1.22782,0.77719,0.72544,0.77534,0.51956,1.15889,0.9191,1.22232,0.000417119,0.000417119,0.000417119
23,860.879,1.16558,0.99551,1.21477,0.73435,0.76133,0.77806,0.51798,1.16949,0.91174,1.22444,0.000402982,0.000402982,0.000402982
24,892.132,1.15609,0.98222,1.22048,0.76211,0.75447,0.78103,0.52163,1.1528,0.90912,1.22267,0.000388844,0.000388844,0.000388844
25,923.581,1.13789,0.97328,1.20924,0.73468,0.75872,0.78041,0.51911,1.16169,0.91306,1.22767,0.000374707,0.000374707,0.000374707
26,954.98,1.14748,0.96099,1.21117,0.70939,0.75167,0.76802,0.51729,1.15065,0.92957,1.2272,0.00036057,0.00036057,0.00036057
27,986.499,1.143,0.95386,1.21414,0.73629,0.751,0.77442,0.5195,1.16005,0.90587,1.21581,0.000346433,0.000346433,0.000346433
28,1017.93,1.13095,0.94078,1.20523,0.74521,0.77052,0.78824,0.53203,1.13413,0.88099,1.20391,0.000332296,0.000332296,0.000332296
29,1050.24,1.1277,0.93563,1.2032,0.74395,0.75727,0.78014,0.52479,1.15615,0.89927,1.22008,0.000318158,0.000318158,0.000318158
30,1083.33,1.11643,0.91789,1.19247,0.71409,0.7746,0.7755,0.52244,1.14084,0.89206,1.21701,0.000304021,0.000304021,0.000304021
